Link,Title,Name,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=ba08769cee1fc8c8,KR_HP_Head of Market Access & Healthcare Affairs,Boehringer Ingelheim,대한민국,,"takes a long- term perspective. Now, we... Direct, devise and execute the long- term market access and healthcare affairs..."
https://kr.indeed.com/viewjob?jk=0e318eaad9491eb5,Enterprise Service Manager - Public Sector,Amazon Web Services Korea LLC,서울,,"large organizations, develop a long term Professional Services strategy and execute... Development of long term Cloud, Digital..."
https://kr.indeed.com/viewjob?jk=9b93b0d266439ecd,Strategic Territory Sales Manager Korea,Autodesk,서울,,short and long- term goals and quotas... Establish and maintain effective long- term customer relationships Key Stake holder...
https://kr.indeed.com/viewjob?jk=c9b28841b9478090,CS EUV Pyeongtaek Team Lead,ASML,경기도 평택,,technical requirements for short term andmid- term solutions. Creating harmonized... short/mid- term man powerplanning...
https://kr.indeed.com/viewjob?jk=c973782c2738e058,"Principal Investment, Real Estate Investment, VP, Korea",Goldman Sachs,서울,,decisions Assist senior members... team... preparation of term sheets and reviewing transaction documentation Project...
https://kr.indeed.com/viewjob?jk=d032250a77be1eff,"Assistant Manager, Institutional Sales",Fidelity International,대한민국,,over the long- term is a key success... generationally and invest... long term. Operating in more than 25 locations...
https://kr.indeed.com/viewjob?jk=3c4f61b744c612ed,Senior Sales Manager,Vestas,서울,,"thereby contributing towards the long term growth... organisation, possessing... Experience with long- term sales processes..."
https://kr.indeed.com/viewjob?jk=e583c26d82e8ebcb,Regional Sales Director - Cybersecurity - Opportunity for Wo...,VMware,서울,,strategic acumen... intellect to contribute... long- term vision... company; the aspiration and aptitude to grow...
https://kr.indeed.com/viewjob?jk=2b8857195fedf895,"Partner Sales Executive, South Korea",Mendix,서울,,"impact... world. So, if you aim high and think long term…you belong here. We innovate. We want... what happens next..."
https://kr.indeed.com/viewjob?jk=6c3ab8933bf3c182,BALENCIAGA Sales Associate,BALENCIAGA KOREA LTD,부산광역시,,역량을 펼칠 수 있는 기회를 함께 모색하고자 합니다. Job Type Fixed Term (Fixed Term) Start Date 2021-03-04 Schedule Full time Organization...
https://kr.indeed.com/viewjob?jk=a7e77e733ea12f6e,Mendix - Senior Consultant (South Korea),Siemens Industry Software Ltd.,서울,,"impact... world. So, if you aim high and think long term…you belong here. We innovate. We want... what happens next..."
